ncm,ncm_dot,descrição,categorias/0,categorias/1,categorias/2
20029010,2002.90.10,sucos,2002,20029,200290
20029090,2002.90.90,outros,2002,20029,200290
20031000,2003.10.00,cogumelos do gênero agaricus,2003,20031,200310
20039000,2003.90.00,outros,2003,20039,200390
20041000,2004.10.00,batatas,2004,20041,200410
20049000,2004.90.00,outros produtos hortícolas e misturas de produtos hortícolas,2004,20049,200490
20051000,2005.10.00,produtos hortícolas homogeneizados,2005,20051,200510
20052000,2005.20.00,batatas,2005,20052,200520
20054000,2005.40.00,ervilhas (pisum sativum),2005,20054,200540
20055100,2005.51.00,feijões em grãos,2005,20055,200551
20055900,2005.59.00,outros,2005,20055,200559
20056000,2005.60.00,aspargos,2005,20056,200560
20057000,2005.70.00,azeitonas,2005,20057,200570
20058000,2005.80.00,milho doce (zea mays var. saccharata),2005,20058,200580
20059100,2005.91.00,brotos (rebentos*) de bambu,2005,20059,200591
20059900,2005.99.00,outros,2005,20059,200599
20060000,2006.00.00,produtos hortícolas,2006,20060,200600
20071000,2007.10.00,preparações homogeneizadas,2007,20071,200710
20079100,2007.91.00,de citros (citrinos*),2007,20079,200791
20079910,2007.99.10,geleias e marmelades,2007,20079,200799
20079921,2007.99.21,de açaí (euterpe oleracea),2007,20079,200799
20079922,2007.99.22,de acerola (malpighia spp.),2007,20079,200799
20079923,2007.99.23,de banana (musa spp.),2007,20079,200799
20079924,2007.99.24,de goiaba (psidium guajava),2007,20079,200799
20079925,2007.99.25,de manga (mangifera indica),2007,20079,200799
20079929,2007.99.29,outros,2007,20079,200799
20079990,2007.99.90,outros,2007,20079,200799
20081100,2008.11.00,amendoins,2008,20081,200811
20081900,2008.19.00,outros,2008,20081,200819
20082010,2008.20.10,em água edulcorada,2008,20082,200820
20082090,2008.20.90,outros,2008,20082,200820
20083000,2008.30.00,citros (citrinos*),2008,20083,200830
20084010,2008.40.10,em água edulcorada,2008,20084,200840
20084090,2008.40.90,outras,2008,20084,200840
20085000,2008.50.00,damascos,2008,20085,200850
20086010,2008.60.10,em água edulcorada,2008,20086,200860
20086090,2008.60.90,outras,2008,20086,200860
20087010,2008.70.10,em água edulcorada,2008,20087,200870
20087020,2008.70.20,polpa com valor brix igual ou superior a 20,2008,20087,200870
20087090,2008.70.90,outros,2008,20087,200870
20088000,2008.80.00,morangos,2008,20088,200880
20089100,2008.91.00,palmitos,2008,20089,200891
20089300,2008.93.00,airelas vermelhas (vaccinium macrocarpon,2008,20089,200893
20089710,2008.97.10,em água edulcorada,2008,20089,200897
20089790,2008.97.90,outras,2008,20089,200897
20089900,2008.99.00,outras,2008,20089,200899
20091100,2009.11.00,congelado,2009,20091,200911
20091200,2009.12.00,não congelado,2009,20091,200912
20091900,2009.19.00,outros,2009,20091,200919
20092100,2009.21.00,com valor brix não superior a 20,2009,20092,200921
20092900,2009.29.00,outros,2009,20092,200929
20093100,2009.31.00,com valor brix não superior a 20,2009,20093,200931
20093900,2009.39.00,outros,2009,20093,200939
20094100,2009.41.00,com valor brix não superior a 20,2009,20094,200941
20094900,2009.49.00,outros,2009,20094,200949
20095000,2009.50.00,suco (sumo) de tomate,2009,20095,200950
20096100,2009.61.00,com valor brix não superior a 30,2009,20096,200961
20096900,2009.69.00,outros,2009,20096,200969
20097100,2009.71.00,com valor brix não superior a 20,2009,20097,200971
20097900,2009.79.00,outros,2009,20097,200979
20098100,2009.81.00,suco (sumo) de airela vermelha (vaccinium macrocarpon,2009,20098,200981
20098911,2009.89.11,de pêssego,2009,20098,200989
20098912,2009.89.12,de acerola (malpighia spp.),2009,20098,200989
20098913,2009.89.13,de maracujá (passiflora edulis),2009,20098,200989
20098919,2009.89.19,outros,2009,20098,200989
20098990,2009.89.90,outros,2009,20098,200989
20099000,2009.90.00,misturas de sucos (sumos),2009,20099,200990
21011110,2101.11.10,café solúvel,2101,21011,210111
21011190,2101.11.90,outros,2101,21011,210111
21011200,2101.12.00,preparações à base de extratos,2101,21011,210112
21012010,2101.20.10,de chá,2101,21012,210120
21012020,2101.20.20,de mate,2101,21012,210120
21013000,2101.30.00,chicória torrada e outros sucedâneos torrados do café e respectivos extratos,2101,21013,210130
21021010,2102.10.10,saccharomyces boulardii,2102,21021,210210
21021090,2102.10.90,outras,2102,21021,210210
21022000,2102.20.00,leveduras mortas; outros microrganismos monocelulares mortos,2102,21022,210220
21023000,2102.30.00,pós para levedar,2102,21023,210230
21031010,2103.10.10,em embalagens imediatas de conteúdo inferior ou igual a 1 kg,2103,21031,210310
21031090,2103.10.90,outros,2103,21031,210310
21032010,2103.20.10,em embalagens imediatas de conteúdo inferior ou igual a 1 kg,2103,21032,210320
21032090,2103.20.90,outros,2103,21032,210320
21033010,2103.30.10,farinha de mostarda,2103,21033,210330
21033021,2103.30.21,em embalagens imediatas de conteúdo inferior ou igual a 1 kg,2103,21033,210330
21033029,2103.30.29,outras,2103,21033,210330
21039011,2103.90.11,em embalagens imediatas de conteúdo inferior ou igual a 1 kg,2103,21039,210390
21039019,2103.90.19,outra,2103,21039,210390
21039021,2103.90.21,em embalagens imediatas de conteúdo inferior ou igual a 1 kg,2103,21039,210390
21039029,2103.90.29,outros,2103,21039,210390
21039091,2103.90.91,em embalagens imediatas de conteúdo inferior ou igual a 1 kg,2103,21039,210390
21039099,2103.90.99,outros,2103,21039,210390
21041011,2104.10.11,em embalagens imediatas de conteúdo inferior ou igual a 1 kg,2104,21041,210410
21041019,2104.10.19,outras,2104,21041,210410
21041021,2104.10.21,em embalagens imediatas de conteúdo inferior ou igual a 1 kg,2104,21041,210410
21041029,2104.10.29,outros,2104,21041,210410
21042000,2104.20.00,preparações alimentícias compostas homogeneizadas,2104,21042,210420
21050010,2105.00.10,em embalagens imediatas de conteúdo inferior ou igual a 2 kg,2105,21050,210500
21050090,2105.00.90,outros,2105,21050,210500
21061000,2106.10.00,concentrados de proteínas e substâncias proteicas texturizadas,2106,21061,210610
21069010,2106.90.10,preparações do tipo utilizado para elaboração de bebidas,2106,21069,210690
21069021,2106.90.21,para a fabricação de pudins,2106,21069,210690
21069029,2106.90.29,outros,2106,21069,210690
21069030,2106.90.30,complementos alimentares,2106,21069,210690
21069040,2106.90.40,misturas à base de ascorbato de sódio e glucose próprias para embutidos,2106,21069,210690
21069050,2106.90.50,gomas de mascar,2106,21069,210690
21069060,2106.90.60,caramelos,2106,21069,210690
21069090,2106.90.90,outras,2106,21069,210690
22011000,2201.10.00,águas minerais e águas gaseificadas,2201,22011,220110
22019000,2201.90.00,outros,2201,22019,220190
22021000,2202.10.00,águas,2202,22021,220210
22029100,2202.91.00,cerveja sem álcool,2202,22029,220291
22029900,2202.99.00,outras,2202,22029,220299
22030000,2203.00.00,cervejas de malte.,2203,22030,220300
22041010,2204.10.10,tipo champanha (champagne),2204,22041,220410
22041090,2204.10.90,outros,2204,22041,220410
22042100,2204.21.00,em recipientes de capacidade não superior a 2 l,2204,22042,220421
22042211,2204.22.11,em recipientes de capacidade não superior a 5 l,2204,22042,220422
22042219,2204.22.19,outros,2204,22042,220422
22042220,2204.22.20,mostos,2204,22042,220422
22042910,2204.29.10,vinhos,2204,22042,220429
22042920,2204.29.20,mostos,2204,22042,220429
22043000,2204.30.00,outros mostos de uvas,2204,22043,220430
22051000,2205.10.00,em recipientes de capacidade não superior a 2 l,2205,22051,220510
22059000,2205.90.00,outros,2205,22059,220590
22060010,2206.00.10,sidra,2206,22060,220600
22060090,2206.00.90,outras,2206,22060,220600
22071010,2207.10.10,com um teor de água inferior ou igual a 1 % vol,2207,22071,220710
22071090,2207.10.90,outros,2207,22071,220710
22072011,2207.20.11,com um teor de água inferior ou igual a 1 % vol,2207,22072,220720
22072019,2207.20.19,outros,2207,22072,220720
22072020,2207.20.20,aguardente,2207,22072,220720
22082000,2208.20.00,aguardentes de vinho ou de bagaço de uvas,2208,22082,220820
22083010,2208.30.10,com um teor alcoólico,2208,22083,220830
22083020,2208.30.20,em embalagens de capacidade inferior ou igual a 2 l,2208,22083,220830
22083090,2208.30.90,outros,2208,22083,220830
22084000,2208.40.00,rum e outras aguardentes provenientes da destilação,2208,22084,220840
22085000,2208.50.00,gim e genebra,2208,22085,220850
22086000,2208.60.00,vodca,2208,22086,220860
22087000,2208.70.00,licores,2208,22087,220870
22089000,2208.90.00,outros,2208,22089,220890
22090000,2209.00.00,vinagres e seus sucedâneos obtidos a partir do ácido acético,2209,22090,220900
23011010,2301.10.10,de carne,2301,23011,230110
23011090,2301.10.90,outros,2301,23011,230110
23012010,2301.20.10,de peixes,2301,23012,230120
23012090,2301.20.90,outros,2301,23012,230120
23021000,2302.10.00,de milho,2302,23021,230210
23023010,2302.30.10,farelo,2302,23023,230230
23023090,2302.30.90,outros,2302,23023,230230
23024000,2302.40.00,de outros cereais,2302,23024,230240
23025000,2302.50.00,de leguminosas,2302,23025,230250
23031000,2303.10.00,resíduos da fabricação do amido e resíduos semelhantes,2303,23031,230310
23032000,2303.20.00,polpas de beterraba,2303,23032,230320
23033000,2303.30.00,borras e desperdícios da indústria da cerveja e das destilarias,2303,23033,230330
23040010,2304.00.10,farinhas e pellets,2304,23040,230400
23040090,2304.00.90,outros,2304,23040,230400
23050000,2305.00.00,tortas (bagaços*) e outros resíduos sólidos,2305,23050,230500
23061000,2306.10.00,de sementes de algodão,2306,23061,230610
23062000,2306.20.00,de linhaça (sementes de linho),2306,23062,230620
23063010,2306.30.10,tortas,2306,23063,230630
23063090,2306.30.90,outros,2306,23063,230630
23064100,2306.41.00,com baixo teor de ácido erúcico,2306,23064,230641
23064900,2306.49.00,outros,2306,23064,230649
23065000,2306.50.00,de coco ou de copra,2306,23065,230650
23066000,2306.60.00,de nozes ou de amêndoas de palma (palmiste) (coconote),2306,23066,230660
23069010,2306.90.10,de germe de milho,2306,23069,230690
23069090,2306.90.90,outros,2306,23069,230690
23070000,2307.00.00,borras de vinho; tártaro em bruto.,2307,23070,230700
23080000,2308.00.00,matérias vegetais e desperdícios vegetais,2308,23080,230800
23091000,2309.10.00,alimentos para cães ou gatos,2309,23091,230910
23099010,2309.90.10,preparações destinadas a fornecer ao animal a totalidade dos elementos nutritivos necessários para uma alimentação diária racional e equilibrada (alimentos compostos completos),2309,23099,230990
23099020,2309.90.20,preparações à base de sal iodado,2309,23099,230990
23099030,2309.90.30,bolachas e biscoitos,2309,23099,230990
23099040,2309.90.40,preparações que contenham diclazuril,2309,23099,230990
23099050,2309.90.50,preparações com um teor de cloridrato de ractopamina igual ou superior a 2 %,2309,23099,230990
23099060,2309.90.60,preparações que contenham xilanase e betagluconase,2309,23099,230990
23099090,2309.90.90,outras,2309,23099,230990
24011010,2401.10.10,em folhas,2401,24011,240110
24011020,2401.10.20,em folhas secas ou fermentadas tipo capeiro,2401,24011,240110
24011030,2401.10.30,em folhas secas em secador de ar quente (flue cured),2401,24011,240110
24011040,2401.10.40,em folhas secas,2401,24011,240110
24011090,2401.10.90,outros,2401,24011,240110
24012010,2401.20.10,em folhas,2401,24012,240120
24012020,2401.20.20,em folhas secas ou fermentadas tipo capeiro,2401,24012,240120
24012030,2401.20.30,em folhas secas em secador de ar quente (flue cured),2401,24012,240120
24012040,2401.20.40,em folhas secas (light air cured),2401,24012,240120
24012090,2401.20.90,outros,2401,24012,240120
24013000,2401.30.00,desperdícios de tabaco,2401,24013,240130
24021000,2402.10.00,charutos e cigarrilhas,2402,24021,240210
24022000,2402.20.00,cigarros que contenham tabaco,2402,24022,240220
24029000,2402.90.00,outros,2402,24029,240290
24031100,2403.11.00,tabaco para narguilé (cachimbo de água) mencionado na nota de subposição 1 do presente capítulo,2403,24031,240311
24031900,2403.19.00,outros,2403,24031,240319
24039100,2403.91.00,tabaco “homogeneizado” ou “reconstituído”,2403,24039,240391
24039910,2403.99.10,extratos e molhos,2403,24039,240399
24039990,2403.99.90,outros,2403,24039,240399
25010011,2501.00.11,sal marinho,2501,25010,250100
25010019,2501.00.19,outros,2501,25010,250100
25010020,2501.00.20,sal de mesa,2501,25010,250100
25010090,2501.00.90,outros,2501,25010,250100
25020000,2502.00.00,piritas de ferro não ustuladas.,2502,25020,250200
25030010,2503.00.10,a granel,2503,25030,250300
25030090,2503.00.90,outros,2503,25030,250300
25041000,2504.10.00,em pó ou em escamas,2504,25041,250410
25049000,2504.90.00,outra,2504,25049,250490
25051000,2505.10.00,areias siliciosas e areias quartzosas,2505,25051,250510
25059000,2505.90.00,outras areias,2505,25059,250590
25061000,2506.10.00,quartzo,2506,25061,250610
25062000,2506.20.00,quartzitos,2506,25062,250620
25070010,2507.00.10,caulim (caulino),2507,25070,250700
25070090,2507.00.90,outros,2507,25070,250700
25081000,2508.10.00,bentonita,2508,25081,250810
25083000,2508.30.00,argilas refratárias,2508,25083,250830
25084010,2508.40.10,plásticas,2508,25084,250840
25084090,2508.40.90,outras,2508,25084,250840
25085000,2508.50.00,andaluzita,2508,25085,250850
25086000,2508.60.00,mulita,2508,25086,250860
25087000,2508.70.00,barro cozido em pó (terra de chamotte) e terra de dinas,2508,25087,250870
25090000,2509.00.00,cré.,2509,25090,250900
25101010,2510.10.10,fosfatos de cálcio naturais,2510,25101,251010
25101090,2510.10.90,outros,2510,25101,251010
25102010,2510.20.10,fosfatos de cálcio naturais,2510,25102,251020
25102090,2510.20.90,outros,2510,25102,251020
25111000,2511.10.00,sulfato de bário natural (baritina),2511,25111,251110
25112000,2511.20.00,carbonato de bário natural (witherite),2511,25112,251120
25120000,2512.00.00,farinhas siliciosas fósseis (por exemplo,2512,25120,251200
25131000,2513.10.00,pedrapomes,2513,25131,251310
25132000,2513.20.00,esmeril,2513,25132,251320
25140000,2514.00.00,ardósia,2514,25140,251400
25151100,2515.11.00,em bruto ou desbastados,2515,25151,251511
25151210,2515.12.10,mármores,2515,25151,251512
25151220,2515.12.20,travertinos,2515,25151,251512
25152000,2515.20.00,granitos belgas e outras pedras calcárias de cantaria ou de construção; alabastro,2515,25152,251520
25161100,2516.11.00,em bruto ou desbastado,2516,25161,251611
25161200,2516.12.00,simplesmente cortado à serra ou por outro meio,2516,25161,251612
25162000,2516.20.00,arenito,2516,25162,251620
25169000,2516.90.00,outras pedras de cantaria ou de construção,2516,25169,251690
25171000,2517.10.00,calhaus,2517,25171,251710
25172000,2517.20.00,macadame de escórias de altosfornos,2517,25172,251720
25173000,2517.30.00,tarmacadame,2517,25173,251730
25174100,2517.41.00,de mármore,2517,25174,251741
25174900,2517.49.00,outros,2517,25174,251749
25181000,2518.10.00,dolomita não calcinada nem sinterizada,2518,25181,251810
25182000,2518.20.00,dolomita calcinada ou sinterizada,2518,25182,251820
25183000,2518.30.00,aglomerados de dolomita,2518,25183,251830
25191000,2519.10.00,carbonato de magnésio natural (magnesita),2519,25191,251910
25199010,2519.90.10,magnésia eletrofundida,2519,25199,251990
25199090,2519.90.90,outros,2519,25199,251990
25201011,2520.10.11,em pedaços irregulares (pedras),2520,25201,252010
25201019,2520.10.19,outros,2520,25201,252010
25201020,2520.10.20,anidrita,2520,25201,252010
25202010,2520.20.10,moído,2520,25202,252020
25202090,2520.20.90,outros,2520,25202,252020
25210000,2521.00.00,castinas; pedras calcárias utilizadas na fabricação de cal ou de cimento.,2521,25210,252100
25221000,2522.10.00,cal viva,2522,25221,252210
25222000,2522.20.00,cal apagada,2522,25222,252220
25223000,2522.30.00,cal hidráulica,2522,25223,252230
25231000,2523.10.00,cimentos não pulverizados,2523,25231,252310
25232100,2523.21.00,cimentos brancos,2523,25232,252321
25232910,2523.29.10,cimento comum,2523,25232,252329
25232990,2523.29.90,outros,2523,25232,252329
25233000,2523.30.00,cimentos aluminosos,2523,25233,252330
25239000,2523.90.00,outros cimentos hidráulicos,2523,25239,252390
25241000,2524.10.00,crocidolita,2524,25241,252410
25249000,2524.90.00,outros,2524,25249,252490
25251000,2525.10.00,mica em bruto ou clivada em folhas ou lamelas irregulares (splittings),2525,25251,252510
25252000,2525.20.00,mica em pó,2525,25252,252520
25253000,2525.30.00,desperdícios de mica,2525,25253,252530
25261000,2526.10.00,não triturados nem em pó,2526,25261,252610
25262000,2526.20.00,triturados ou em pó,2526,25262,252620
25280000,2528.00.00,boratos naturais e seus concentrados (calcinados ou não),2528,25280,252800
25291000,2529.10.00,feldspato,2529,25291,252910
25292100,2529.21.00,que contenha,2529,25292,252921
25292200,2529.22.00,que contenha,2529,25292,252922
25293000,2529.30.00,leucita; nefelina e nefelinasienito,2529,25293,252930
25301010,2530.10.10,perlita,2530,25301,253010
25301090,2530.10.90,outras,2530,25301,253010
25302000,2530.20.00,quieserita,2530,25302,253020
25309010,2530.90.10,espodumênio,2530,25309,253090
25309020,2530.90.20,areia de zircônio micronizada,2530,25309,253090
25309030,2530.90.30,minerais de metais das terras raras,2530,25309,253090
25309040,2530.90.40,terras corantes,2530,25309,253090
25309090,2530.90.90,outras,2530,25309,253090
26011100,2601.11.00,não aglomerados,2601,26011,260111
26011210,2601.12.10,aglomerados por processo de peletização,2601,26011,260112
26011290,2601.12.90,outros,2601,26011,260112
26012000,2601.20.00,piritas de ferro ustuladas (cinzas de piritas),2601,26012,260120
26020010,2602.00.10,aglomerados,2602,26020,260200
26020090,2602.00.90,outros,2602,26020,260200
26030010,2603.00.10,sulfetos,2603,26030,260300
26030090,2603.00.90,outros,2603,26030,260300
26040000,2604.00.00,minérios de níquel e seus concentrados.,2604,26040,260400
26050000,2605.00.00,minérios de cobalto e seus concentrados.,2605,26050,260500
26060011,2606.00.11,não calcinada,2606,26060,260600
26060012,2606.00.12,calcinada,2606,26060,260600
26060090,2606.00.90,outros,2606,26060,260600
26070000,2607.00.00,minérios de chumbo e seus concentrados.,2607,26070,260700
26080010,2608.00.10,sulfetos,2608,26080,260800
26080090,2608.00.90,outros,2608,26080,260800
26090000,2609.00.00,minérios de estanho e seus concentrados.,2609,26090,260900
26100010,2610.00.10,cromita,2610,26100,261000
26100090,2610.00.90,outros,2610,26100,261000
26110000,2611.00.00,minérios de tungstênio (volfrâmio) e seus concentrados.,2611,26110,261100
26121000,2612.10.00,minérios de urânio e seus concentrados,2612,26121,261210
26122000,2612.20.00,minérios de tório e seus concentrados,2612,26122,261220
26131010,2613.10.10,molibdenita,2613,26131,261310
26131090,2613.10.90,outros,2613,26131,261310
26139010,2613.90.10,molibdenita,2613,26139,261390
26139090,2613.90.90,outros,2613,26139,261390
26140010,2614.00.10,ilmenita,2614,26140,261400
26140090,2614.00.90,outros,2614,26140,261400
26151010,2615.10.10,badeleíta,2615,26151,261510
26151020,2615.10.20,zirconita,2615,26151,261510
26151090,2615.10.90,outros,2615,26151,261510
26159000,2615.90.00,outros,2615,26159,261590
26161000,2616.10.00,minérios de prata e seus concentrados,2616,26161,261610
26169000,2616.90.00,outros,2616,26169,261690
26171000,2617.10.00,minérios de antimônio e seus concentrados,2617,26171,261710
26179000,2617.90.00,outros,2617,26179,261790
26180000,2618.00.00,escória de altosfornos granulada (areia de escória) proveniente da fabricação de ferro fundido,2618,26180,261800
26190000,2619.00.00,escórias (exceto escória de altosfornos granulada) e outros desperdícios da fabricação de ferro fundido,2619,26190,261900
26201100,2620.11.00,mates de galvanização,2620,26201,262011
26201900,2620.19.00,outros,2620,26201,262019
26202100,2620.21.00,lamas (borras) de gasolina que contenham chumbo e lamas (borras) de compostos antidetonantes que contenham chumbo,2620,26202,262021
26202900,2620.29.00,outros,2620,26202,262029
26203000,2620.30.00,que contenham principalmente cobre,2620,26203,262030
26204000,2620.40.00,que contenham principalmente alumínio,2620,26204,262040
26206000,2620.60.00,que contenham arsênio,2620,26206,262060
26209100,2620.91.00,que contenham antimônio,2620,26209,262091
26209910,2620.99.10,que contenham principalmente titânio,2620,26209,262099
26209990,2620.99.90,outros,2620,26209,262099
26211000,2621.10.00,cinzas e resíduos provenientes da incineração de resíduos municipais,2621,26211,262110
26219010,2621.90.10,cinzas de origem vegetal,2621,26219,262190
26219090,2621.90.90,outras,2621,26219,262190
27011100,2701.11.00,antracita,2701,27011,270111
27011200,2701.12.00,hulha betuminosa,2701,27011,270112
27011900,2701.19.00,outras hulhas,2701,27011,270119
27012000,2701.20.00,briquetes,2701,27012,270120
27021000,2702.10.00,linhitas,2702,27021,270210
27022000,2702.20.00,linhitas aglomeradas,2702,27022,270220
27030000,2703.00.00,turfa (incluindo a turfa para cama de animais),2703,27030,270300
27040010,2704.00.10,coques,2704,27040,270400
27040090,2704.00.90,outros,2704,27040,270400
27050000,2705.00.00,gás de hulha,2705,27050,270500
27060000,2706.00.00,alcatrões de hulha,2706,27060,270600
27071000,2707.10.00,benzol (benzeno),2707,27071,270710
27072000,2707.20.00,toluol (tolueno),2707,27072,270720
27073000,2707.30.00,xilol (xilenos),2707,27073,270730
27074000,2707.40.00,naftaleno,2707,27074,270740
27075000,2707.50.00,outras misturas de hidrocarbonetos aromáticos que destilem (incluindo as perdas) uma fração igual ou superior a 65 %,2707,27075,270750
27079100,2707.91.00,óleos de creosoto,2707,27079,270791
27079910,2707.99.10,cresóis,2707,27079,270799
27079990,2707.99.90,outros,2707,27079,270799
27081000,2708.10.00,breu,2708,27081,270810
27082000,2708.20.00,coque de breu,2708,27082,270820
27090010,2709.00.10,de petróleo,2709,27090,270900
27090090,2709.00.90,outros,2709,27090,270900
27101210,2710.12.10,hexano comercial,2710,27101,271012
27101221,2710.12.21,diisobutileno,2710,27101,271012
27101229,2710.12.29,outras,2710,27101,271012
27101230,2710.12.30,aguarrás mineral (white spirit),2710,27101,271012
27101241,2710.12.41,para petroquímica,2710,27101,271012
27101249,2710.12.49,outras,2710,27101,271012
27101251,2710.12.51,de aviação,2710,27101,271012
27101259,2710.12.59,outras,2710,27101,271012
27101260,2710.12.60,mistura de hidrocarbonetos acíclicos e cíclicos,2710,27101,271012
27101290,2710.12.90,outros,2710,27101,271012
27101911,2710.19.11,de aviação,2710,27101,271019
27101919,2710.19.19,outros,2710,27101,271019
27101921,2710.19.21,“gasóleo” (óleo diesel),2710,27101,271019
27101922,2710.19.22,fueloil,2710,27101,271019
27101929,2710.19.29,outros,2710,27101,271019
27101931,2710.19.31,sem aditivos,2710,27101,271019
27101932,2710.19.32,com aditivos,2710,27101,271019
27101991,2710.19.91,óleos minerais brancos (óleos de vaselina ou de parafina),2710,27101,271019
27101992,2710.19.92,líquidos para transmissões hidráulicas,2710,27101,271019
27101993,2710.19.93,óleos para isolamento elétrico,2710,27101,271019
27101994,2710.19.94,mistura de hidrocarbonetos acíclicos e cíclicos,2710,27101,271019
27101999,2710.19.99,outros,2710,27101,271019
27102000,2710.20.00,óleos de petróleo ou de minerais betuminosos (exceto óleos brutos) e preparações não especificadas nem compreendidas noutras posições,2710,27102,271020
27109100,2710.91.00,que contenham difenilas policloradas (pcb),2710,27109,271091
27109900,2710.99.00,outros,2710,27109,271099
27111100,2711.11.00,gás natural,2711,27111,271111
27111210,2711.12.10,bruto,2711,27111,271112
27111290,2711.12.90,outros,2711,27111,271112
27111300,2711.13.00,butanos,2711,27111,271113
27111400,2711.14.00,etileno,2711,27111,271114
27111910,2711.19.10,gás liquefeito de petróleo (glp),2711,27111,271119
27111990,2711.19.90,outros,2711,27111,271119
27112100,2711.21.00,gás natural,2711,27112,271121
27112910,2711.29.10,butanos,2711,27112,271129
27112990,2711.29.90,outros,2711,27112,271129
27121000,2712.10.00,vaselina,2712,27121,271210
27122000,2712.20.00,parafina que contenha,2712,27122,271220
27129000,2712.90.00,outros,2712,27129,271290
27131100,2713.11.00,não calcinado,2713,27131,271311
27131200,2713.12.00,calcinado,2713,27131,271312
27132000,2713.20.00,betume de petróleo,2713,27132,271320
27139000,2713.90.00,outros resíduos dos óleos de petróleo ou de minerais betuminosos,2713,27139,271390
27141000,2714.10.00,xistos e areias betuminosos,2714,27141,271410
27149000,2714.90.00,outros,2714,27149,271490
27150000,2715.00.00,misturas betuminosas à base de asfalto ou de betume naturais,2715,27150,271500
27160000,2716.00.00,energia elétrica.,2716,27160,271600
28011000,2801.10.00,cloro,2801,28011,280110
28012010,2801.20.10,sublimado,2801,28012,280120
28012090,2801.20.90,outros,2801,28012,280120
28013000,2801.30.00,flúor; bromo,2801,28013,280130
28020000,2802.00.00,enxofre sublimado ou precipitado; enxofre coloidal.,2802,28020,280200
28030011,2803.00.11,negro de acetileno,2803,28030,280300
28030019,2803.00.19,outros,2803,28030,280300
28030090,2803.00.90,outros,2803,28030,280300
28041000,2804.10.00,hidrogênio,2804,28041,280410
28042100,2804.21.00,argônio (árgon),2804,28042,280421
28042910,2804.29.10,hélio líquido,2804,28042,280429
28042990,2804.29.90,outros,2804,28042,280429
28043000,2804.30.00,nitrogênio (azoto),2804,28043,280430
28044000,2804.40.00,oxigênio,2804,28044,280440
28045000,2804.50.00,boro; telúrio,2804,28045,280450
28046100,2804.61.00,que contenham,2804,28046,280461
28046900,2804.69.00,outro,2804,28046,280469
28047010,2804.70.10,branco,2804,28047,280470
28047020,2804.70.20,vermelho ou amorfo,2804,28047,280470
28047030,2804.70.30,negro,2804,28047,280470
28048000,2804.80.00,arsênio,2804,28048,280480
28049000,2804.90.00,selênio,2804,28049,280490
28051100,2805.11.00,sódio,2805,28051,280511
28051200,2805.12.00,cálcio,2805,28051,280512
28051910,2805.19.10,estrôncio,2805,28051,280519
28051920,2805.19.20,bário,2805,28051,280519
28051990,2805.19.90,outros,2805,28051,280519
28053010,2805.30.10,liga de cério,2805,28053,280530
28053090,2805.30.90,outros,2805,28053,280530
28054000,2805.40.00,mercúrio,2805,28054,280540
28061010,2806.10.10,em estado gasoso ou liquefeito,2806,28061,280610
28061020,2806.10.20,em solução aquosa,2806,28061,280610
28062000,2806.20.00,ácido clorossulfúrico,2806,28062,280620
28070010,2807.00.10,ácido sulfúrico,2807,28070,280700
28070020,2807.00.20,ácido sulfúrico fumante (óleum),2807,28070,280700
28080010,2808.00.10,ácido nítrico,2808,28080,280800
28080020,2808.00.20,ácidos sulfonítricos,2808,28080,280800
28091000,2809.10.00,pentóxido de difósforo,2809,28091,280910
28092011,2809.20.11,com um teor de ferro inferior a 750 ppm,2809,28092,280920
28092019,2809.20.19,outros,2809,28092,280920
28092020,2809.20.20,ácidos metafosfóricos,2809,28092,280920
28092030,2809.20.30,ácido pirofosfórico,2809,28092,280920
28092090,2809.20.90,outros,2809,28092,280920
28100010,2810.00.10,ácido ortobórico,2810,28100,281000
28100090,2810.00.90,outros,2810,28100,281000
28111100,2811.11.00,fluoreto de hidrogênio (ácido fluorídrico),2811,28111,281111
28111200,2811.12.00,cianeto de hidrogênio (ácido cianídrico ou ácido hidrociânico),2811,28111,281112
28111910,2811.19.10,ácido aminossulfônico (ácido sulfâmico),2811,28111,281119
28111920,2811.19.20,ácido fosfônico (ácido fosforoso),2811,28111,281119
28111930,2811.19.30,ácido perclórico,2811,28111,281119
28111940,2811.19.40,fluorácidos e outros compostos de flúor,2811,28111,281119
28111990,2811.19.90,outros,2811,28111,281119
28112100,2811.21.00,dióxido de carbono,2811,28112,281121
28112210,2811.22.10,obtido por precipitação química,2811,28112,281122
28112220,2811.22.20,tipo aerogel,2811,28112,281122
28112230,2811.22.30,gel de sílica,2811,28112,281122
28112290,2811.22.90,outros,2811,28112,281122
28112910,2811.29.10,dióxido de enxofre,2811,28112,281129
28112990,2811.29.90,outros,2811,28112,281129
28121100,2812.11.00,dicloreto de carbonila (fosgênio),2812,28121,281211
28121200,2812.12.00,oxicloreto de fósforo,2812,28121,281212
28121300,2812.13.00,tricloreto de fósforo,2812,28121,281213
28121400,2812.14.00,pentacloreto de fósforo,2812,28121,281214
28121500,2812.15.00,monocloreto de enxofre,2812,28121,281215
28121600,2812.16.00,dicloreto de enxofre,2812,28121,281216
28121700,2812.17.00,cloreto de tionila,2812,28121,281217
28121911,2812.19.11,tricloreto de arsênio,2812,28121,281219
